playerid,total_spent_usd
512077,109.94
512221,79.96
512228,213.9
512332,243.85999999999999
512361,229.92
512449,39.98
512483,79.96
512501,189.89999999999998
512526,259.84
512532,229.88
512537,99.94
512571,39.98
512573,423.76
512591,19.98
512616,159.94
512668,281.84
512679,239.92
512764,103.94
512814,139.94
512817,99.96
512962,25773.0
512991,347.86
513003,9.98
513111,143.92
513120,39.98
513208,39.98
513218,9006.9
513229,801.68
513248,118.91999999999999
513292,0.0
513298,63.959999999999994
513332,1159.24
513347,391.76
513361,79.98
513412,817.54
513464,149.92
513469,483.78
513481,39.98
513486,0.0
513532,119.96000000000001
513630,0.0
513636,279.94
513670,971.64
513798,79.94
513863,423.84
513929,549.82
514000,643.78
514049,339.86
514087,0.0
514173,19.98
514196,173.89999999999998
514330,119.92
514336,39.94
514339,179.94
514375,119.96000000000001
514473,349.9
514492,83.94
514503,1726.38
514535,447.74
514549,273.84
514561,3674.48
514637,243.88
514662,177.86
514691,259.84
514708,379.48
514811,489.84000000000003
514818,5171.28
514859,613.78
514933,343.84
514949,225.85999999999999
514982,199.92
515007,1088.22
515010,513.76
515024,131.9
515167,79.96
515200,159.92
515227,63.959999999999994
515251,367.8
515382,143.92
515402,69.94
515484,19.98
515506,0.0
515574,273.86
515594,201.92000000000002
515667,63.959999999999994
515706,239.92
515731,309.84
515760,43.96
515877,315.84
515903,313.88
515953,559.86
515993,7563.05
516009,685.6999999999999
516070,2440.66
516078,243.76
516159,0.0
516181,479.78
516219,289.9
516310,39.98
516324,1667.42
516334,259.94
516378,219.88
516397,179.92
516445,359.92
516448,2729.32
516464,119.96000000000001
516483,61.94
516493,209.88
516514,299.82
516528,119.94
516536,43.96
516600,43.96
516716,308.88
516725,633.54
516833,8120.72
516874,199.88
516916,2727.68
516979,199.85999999999999
517033,1429.54
517072,0.0
517083,39.98
517115,39.98
517119,243.82
517157,709.8
517263,179.96
517281,455.7
517314,818.2
517335,891.56
517365,4705.64
517411,79.94
517428,39.98
517445,249.85999999999999
517448,259.9
517487,229.94
517517,79.96
517597,59.98
517629,179.92
517651,59.959999999999994
517740,239.94
517813,319.94
517816,4055.3599999999997
517824,389.90000000000003
517897,279.92
517920,39.98
517930,879.76
517962,149.94
517975,119.94000000000001
518020,273.85999999999996
518028,39.98
518051,79.96
518073,2138.88
518079,199.89999999999998
518129,443.84
518159,6626.58
518217,0.0
518230,2095.3
518262,143.92
518344,319.9
518384,499.7
518391,219.88
518446,2757.4
518448,379.86
518486,5525.36
518601,312.8
518618,289.86
518652,253.85999999999999
518748,359.86
518803,479.82
518815,71.94
518820,1255.3
518850,0.0
519022,283.86
519067,1225.62
519142,109.92
519145,357.84
519151,163.92000000000002
519299,509.78
519316,119.98
519352,2189.08
519360,2045.94
519361,16206.64
519380,403.84
519423,299.9
519453,1579.18
519468,0.0
519533,303.82
519555,519.76
519561,239.89999999999998
519577,7102.72
519606,1593.48
519702,39.98
519716,313.86
519748,239.9
519768,333.79999999999995
519827,39.98
519835,109.96000000000001
519906,313.86
519919,59.959999999999994
520038,1897.1
520044,169.88
520107,1093.56
520112,83.94
520120,1079.26
520134,733.66
520141,39.98
520144,279.82
520185,49.96
520200,143.94
520358,119.96000000000001
520396,139.94
520409,159.94
520410,39.98
520414,7007.64
520426,2023.18
520537,99.94
520538,1981.84
520571,226.79999999999998
520574,1243.2
520586,4743.32
520609,15970.8
520613,459.82
520622,509.84
520632,123.91999999999999
520714,613.74
520746,23.98
520767,0.0
520771,99.94
520792,1547.1399999999999
520820,39.98
520957,279.92
520960,1019.28
520961,559.8
521006,0.0
521018,87.94
521115,479.74
521122,79.98
521182,319.46
521322,359.82
521323,63.959999999999994
521447,39.98
521657,147.9
521696,269.86
521747,39.98
521759,309.88
521797,629.74
521803,79.94
521807,79.96
521907,283.86
521952,259.9
522039,443.78
522045,259.9
522073,1959.4
522183,151.9
522200,313.78
522225,179.92000000000002
522256,1369.66
522268,387.79999999999995
522297,307.86
522343,1349.58
522388,237.78
522406,483.84000000000003
522426,689.74
522462,96.96
522467,5830.4
522538,379.8
522554,409.8
522569,1091.24
522571,399.46
522572,3405.6
522576,453.84
522620,93.94
522621,243.9
522624,297.82
522628,309.9
522632,17414.68
522668,15846.96
522681,219.82
522692,163.85999999999999
522702,129.88
522722,193.89999999999998
522723,103.94
522735,39.98
522787,639.68
522823,79.96
522863,0.0
522890,2595.7
522898,310.8
522908,4210.82
522951,349.88
522978,495.84
522988,555.78
522995,699.4200000000001
523035,119.96000000000001
